date;heure;NO2;O3
;;microg/m3;microg/m3
08/02/2018;19;103;0
08/02/2018;20;99;1
08/02/2018;21;93;1
08/02/2018;22;84;1
08/02/2018;23;78;5
08/02/2018;24;64;12
09/02/2018;1;64;7
09/02/2018;2;60;7
09/02/2018;3;55;8
09/02/2018;4;59;2
09/02/2018;5;52;3
09/02/2018;6;52;3
09/02/2018;7;51;3
09/02/2018;8;52;3
09/02/2018;9;48;6
09/02/2018;10;43;15
09/02/2018;11;48;14
09/02/2018;12;50;16
09/02/2018;13;49;18
09/02/2018;14;49;20
09/02/2018;15;52;17
09/02/2018;16;54;17
09/02/2018;17;55;16
09/02/2018;18;69;6
09/02/2018;19;75;3
09/02/2018;20;51;29
09/02/2018;21;46;31
09/02/2018;22;36;38
09/02/2018;23;34;36
09/02/2018;24;39;26
10/02/2018;1;33;32
10/02/2018;2;31;34
10/02/2018;3;31;35
10/02/2018;4;28;38
10/02/2018;5;29;35
10/02/2018;6;35;29
10/02/2018;7;40;24
10/02/2018;8;65;8
10/02/2018;9;77;6
10/02/2018;10;51;25
10/02/2018;11;53;25
10/02/2018;12;39;39
10/02/2018;13;30;50
10/02/2018;14;33;52
10/02/2018;15;25;61
10/02/2018;16;40;49
10/02/2018;17;47;44
10/02/2018;18;49;41
10/02/2018;19;61;27
10/02/2018;20;54;29
10/02/2018;21;36;42
10/02/2018;22;27;46
10/02/2018;23;25;47
10/02/2018;24;23;48
11/02/2018;1;20;53
11/02/2018;2;13;56
11/02/2018;3;15;54
11/02/2018;4;15;52
11/02/2018;5;18;48
11/02/2018;6;21;44
11/02/2018;7;29;36
11/02/2018;8;36;31
11/02/2018;9;41;31
11/02/2018;10;18;60
11/02/2018;11;14;65
11/02/2018;12;18;63
11/02/2018;13;21;59
11/02/2018;14;19;62
11/02/2018;15;19;61
11/02/2018;16;17;65
11/02/2018;17;32;50
11/02/2018;18;40;41
11/02/2018;19;44;33
11/02/2018;20;53;26
11/02/2018;21;42;34
11/02/2018;22;20;58
11/02/2018;23;23;58
11/02/2018;24;18;56
12/02/2018;1;18;55
12/02/2018;2;18;55
12/02/2018;3;16;55
12/02/2018;4;18;52
12/02/2018;5;21;48
12/02/2018;6;37;30
12/02/2018;7;61;12
12/02/2018;8;76;3
12/02/2018;9;69;11
12/02/2018;10;52;26
12/02/2018;11;41;38
12/02/2018;12;30;52
12/02/2018;13;18;61
12/02/2018;14;20;62
12/02/2018;15;20;62
12/02/2018;16;25;59
12/02/2018;17;43;40
12/02/2018;18;96;1
12/02/2018;19;100;0
12/02/2018;20;100;0
12/02/2018;21;92;0
12/02/2018;22;86;1
12/02/2018;23;80;3
12/02/2018;24;54;22
13/02/2018;1;52;18
13/02/2018;2;40;25
13/02/2018;3;34;29
13/02/2018;4;38;24
13/02/2018;5;44;18
13/02/2018;6;50;12
13/02/2018;7;56;6
13/02/2018;8;57;9
13/02/2018;9;48;22
13/02/2018;10;38;30
13/02/2018;11;33;41
13/02/2018;12;32;43
13/02/2018;13;29;44
13/02/2018;14;23;51
13/02/2018;15;27;51
13/02/2018;16;26;52
13/02/2018;17;32;45
13/02/2018;18;30;47
13/02/2018;19;36;39
13/02/2018;20;37;36
13/02/2018;21;33;40
13/02/2018;22;31;36
13/02/2018;23;33;35
13/02/2018;24;33;31
14/02/2018;1;28;34
14/02/2018;2;35;23
14/02/2018;3;34;22
