date;heure;NO2;O3
;;microg/m3;microg/m3
21/05/2019;20;33;60
21/05/2019;21;40;48
21/05/2019;22;40;54
21/05/2019;23;28;67
21/05/2019;24;22;73
22/05/2019;1;19;70
22/05/2019;2;20;61
22/05/2019;3;19;57
22/05/2019;4;32;36
22/05/2019;5;45;25
22/05/2019;6;58;19
22/05/2019;7;63;24
22/05/2019;8;65;35
22/05/2019;9;60;45
22/05/2019;10;52;60
22/05/2019;11;41;77
22/05/2019;12;28;88
22/05/2019;13;26;92
22/05/2019;14;25;97
22/05/2019;15;23;101
22/05/2019;16;21;107
22/05/2019;17;30;99
22/05/2019;18;31;97
22/05/2019;19;26;104
22/05/2019;20;30;92
22/05/2019;21;23;81
22/05/2019;22;26;78
22/05/2019;23;35;57
22/05/2019;24;54;39
23/05/2019;1;77;9
23/05/2019;2;78;2
23/05/2019;3;76;2
23/05/2019;4;72;1
23/05/2019;5;71;2
23/05/2019;6;86;3
23/05/2019;7;91;9
23/05/2019;8;59;47
23/05/2019;9;77;33
23/05/2019;10;29;93
23/05/2019;11;17;110
23/05/2019;12;14;116
23/05/2019;13;13;124
23/05/2019;14;13;128
23/05/2019;15;16;131
23/05/2019;16;17;131
23/05/2019;17;23;123
23/05/2019;18;24;119
23/05/2019;19;26;109
23/05/2019;20;28;98
23/05/2019;21;39;77
23/05/2019;22;54;57
23/05/2019;23;19;79
23/05/2019;24;16;81
24/05/2019;1;18;76
24/05/2019;2;19;73
24/05/2019;3;16;75
24/05/2019;4;15;78
24/05/2019;5;24;64
24/05/2019;6;38;51
24/05/2019;7;49;39
24/05/2019;8;44;49
24/05/2019;9;39;58
24/05/2019;10;39;65
24/05/2019;11;29;85
24/05/2019;12;21;97
24/05/2019;13;14;106
24/05/2019;14;14;107
24/05/2019;15;15;108
24/05/2019;16;16;109
24/05/2019;17;19;99
24/05/2019;18;18;95
24/05/2019;19;20;85
24/05/2019;20;17;85
24/05/2019;21;21;88
24/05/2019;22;18;94
24/05/2019;23;18;85
24/05/2019;24;20;77
25/05/2019;1;18;77
25/05/2019;2;16;77
25/05/2019;3;13;76
25/05/2019;4;14;73
25/05/2019;5;19;64
25/05/2019;6;23;56
25/05/2019;7;26;51
25/05/2019;8;28;50
25/05/2019;9;31;55
25/05/2019;10;21;70
25/05/2019;11;14;72
25/05/2019;12;11;78
25/05/2019;13;15;55
25/05/2019;14;13;62
25/05/2019;15;17;55
25/05/2019;16;22;42
25/05/2019;17;22;49
25/05/2019;18;21;49
25/05/2019;19;19;52
25/05/2019;20;21;47
25/05/2019;21;27;42
25/05/2019;22;47;21
25/05/2019;23;52;17
25/05/2019;24;30;34
26/05/2019;1;26;40
26/05/2019;2;17;47
26/05/2019;3;19;41
26/05/2019;4;17;42
26/05/2019;5;10;51
26/05/2019;6;11;49
26/05/2019;7;9;53
26/05/2019;8;7;58
26/05/2019;9;7;58
26/05/2019;10;8;55
26/05/2019;11;9;47
26/05/2019;12;9;46
26/05/2019;13;8;55
26/05/2019;14;8;58
26/05/2019;15;8;60
26/05/2019;16;11;51
26/05/2019;17;12;46
26/05/2019;18;15;40
26/05/2019;19;15;42
26/05/2019;20;14;42
26/05/2019;21;12;40
26/05/2019;22;12;38
26/05/2019;23;8;44
26/05/2019;24;7;45
27/05/2019;1;7;44
27/05/2019;2;6;43
27/05/2019;3;6;40
27/05/2019;4;8;37
27/05/2019;5;13;32
27/05/2019;6;17;30
27/05/2019;7;20;31
27/05/2019;8;22;29
27/05/2019;9;26;29
27/05/2019;10;16;43
27/05/2019;11;11;54
27/05/2019;12;10;66
27/05/2019;13;12;69
27/05/2019;14;14;74
27/05/2019;15;14;77
27/05/2019;16;14;78
27/05/2019;17;15;78
27/05/2019;18;15;72
27/05/2019;19;15;71
27/05/2019;20;13;67
27/05/2019;21;13;60
27/05/2019;22;14;56
27/05/2019;23;13;55
27/05/2019;24;10;56
28/05/2019;1;6;57
28/05/2019;2;5;53
28/05/2019;3;6;51
28/05/2019;4;7;50
28/05/2019;5;14;42
28/05/2019;6;22;33
28/05/2019;7;24;34
28/05/2019;8;21;36
28/05/2019;9;19;41
28/05/2019;10;16;48
28/05/2019;11;15;49
28/05/2019;12;16;49
28/05/2019;13;10;59
28/05/2019;14;14;57
28/05/2019;15;14;54
28/05/2019;16;19;46
28/05/2019;17;17;53
28/05/2019;18;16;55
28/05/2019;19;16;58
28/05/2019;20;16;59
28/05/2019;21;15;60
28/05/2019;22;16;56
28/05/2019;23;16;50
28/05/2019;24;16;48
29/05/2019;1;13;46
29/05/2019;2;13;44
29/05/2019;3;14;43
29/05/2019;4;14;42
29/05/2019;5;21;33
29/05/2019;6;33;26
29/05/2019;7;41;21
29/05/2019;8;38;28
29/05/2019;9;37;32
29/05/2019;10;23;51
29/05/2019;11;17;60
29/05/2019;12;11;74
29/05/2019;13;10;77
29/05/2019;14;11;73
29/05/2019;15;13;68
29/05/2019;16;14;65
29/05/2019;17;17;62
29/05/2019;18;19;62
29/05/2019;19;19;62
29/05/2019;20;15;62
29/05/2019;21;13;60
29/05/2019;22;12;58
29/05/2019;23;14;54
29/05/2019;24;13;52
30/05/2019;1;8;48
30/05/2019;2;7;46
30/05/2019;3;7;40
30/05/2019;4;7;37
30/05/2019;5;10;30
30/05/2019;6;12;27
