date;heure;NO2;O3
;;microg/m3;microg/m3
06/02/2017;12;n/d;n/d
06/02/2017;13;n/d;n/d
06/02/2017;14;38;30
06/02/2017;15;36;38
06/02/2017;16;38;34
06/02/2017;17;39;37
06/02/2017;18;51;24
06/02/2017;19;67;13
06/02/2017;20;67;8
06/02/2017;21;69;10
06/02/2017;22;47;27
06/02/2017;23;34;39
06/02/2017;24;28;38
07/02/2017;1;24;42
07/02/2017;2;16;52
07/02/2017;3;13;55
07/02/2017;4;15;53
07/02/2017;5;19;48
07/02/2017;6;33;29
07/02/2017;7;51;14
07/02/2017;8;62;6
07/02/2017;9;68;3
07/02/2017;10;69;2
07/02/2017;11;68;3
07/02/2017;12;46;26
07/02/2017;13;30;51
07/02/2017;14;21;64
07/02/2017;15;23;65
07/02/2017;16;33;55
07/02/2017;17;41;46
07/02/2017;18;42;50
07/02/2017;19;52;38
07/02/2017;20;58;31
07/02/2017;21;55;32
07/02/2017;22;43;44
07/02/2017;23;44;38
07/02/2017;24;40;38
08/02/2017;1;37;35
08/02/2017;2;35;34
08/02/2017;3;34;33
08/02/2017;4;33;33
08/02/2017;5;31;31
08/02/2017;6;44;20
08/02/2017;7;62;6
08/02/2017;8;65;4
08/02/2017;9;56;11
08/02/2017;10;47;15
08/02/2017;11;42;15
08/02/2017;12;38;19
08/02/2017;13;36;22
08/02/2017;14;41;20
08/02/2017;15;39;21
08/02/2017;16;40;26
08/02/2017;17;36;28
08/02/2017;18;36;25
08/02/2017;19;37;20
08/02/2017;20;31;21
08/02/2017;21;25;20
08/02/2017;22;23;16
08/02/2017;23;26;11
08/02/2017;24;22;18
09/02/2017;1;19;22
09/02/2017;2;15;41
09/02/2017;3;15;32
09/02/2017;4;15;27
09/02/2017;5;18;39
09/02/2017;6;24;23
09/02/2017;7;34;17
09/02/2017;8;36;18
09/02/2017;9;36;8
09/02/2017;10;38;10
09/02/2017;11;38;11
09/02/2017;12;37;10
09/02/2017;13;36;15
09/02/2017;14;40;19
09/02/2017;15;45;22
09/02/2017;16;48;17
09/02/2017;17;55;10
09/02/2017;18;59;4
09/02/2017;19;48;20
09/02/2017;20;41;23
09/02/2017;21;43;24
09/02/2017;22;39;30
09/02/2017;23;39;24
09/02/2017;24;31;32
10/02/2017;1;28;36
10/02/2017;2;28;35
10/02/2017;3;23;37
10/02/2017;4;18;40
10/02/2017;5;18;40
10/02/2017;6;32;25
10/02/2017;7;48;13
10/02/2017;8;53;8
10/02/2017;9;47;15
10/02/2017;10;39;20
10/02/2017;11;35;21
10/02/2017;12;33;22
10/02/2017;13;30;25
10/02/2017;14;38;19
10/02/2017;15;41;19
10/02/2017;16;47;14
10/02/2017;17;50;11
10/02/2017;18;55;7
10/02/2017;19;55;5
10/02/2017;20;53;6
10/02/2017;21;53;6
10/02/2017;22;43;20
10/02/2017;23;36;24
10/02/2017;24;43;16
11/02/2017;1;41;18
11/02/2017;2;40;15
11/02/2017;3;39;9
11/02/2017;4;37;7
11/02/2017;5;38;7
11/02/2017;6;33;14
11/02/2017;7;28;19
11/02/2017;8;40;10
11/02/2017;9;44;5
11/02/2017;10;43;5
11/02/2017;11;46;4
11/02/2017;12;45;4
11/02/2017;13;46;4
11/02/2017;14;47;4
11/02/2017;15;47;3
11/02/2017;16;47;2
11/02/2017;17;47;2
11/02/2017;18;46;2
11/02/2017;19;46;1
11/02/2017;20;44;2
11/02/2017;21;45;2
11/02/2017;22;44;2
11/02/2017;23;42;1
11/02/2017;24;44;1
12/02/2017;1;45;1
12/02/2017;2;46;2
12/02/2017;3;44;1
12/02/2017;4;42;1
12/02/2017;5;42;1
12/02/2017;6;44;1
12/02/2017;7;45;1
12/02/2017;8;43;4
12/02/2017;9;38;14
12/02/2017;10;37;14
12/02/2017;11;33;19
12/02/2017;12;26;22
12/02/2017;13;27;19
12/02/2017;14;28;20
12/02/2017;15;31;18
12/02/2017;16;33;17
12/02/2017;17;40;11
12/02/2017;18;53;4
12/02/2017;19;61;2
12/02/2017;20;62;5
12/02/2017;21;50;16
12/02/2017;22;45;16
12/02/2017;23;40;17
12/02/2017;24;30;24
13/02/2017;1;29;23
13/02/2017;2;22;27
13/02/2017;3;21;26
13/02/2017;4;22;23
13/02/2017;5;29;14
13/02/2017;6;40;5
13/02/2017;7;48;1
13/02/2017;8;47;4
13/02/2017;9;42;10
13/02/2017;10;32;19
13/02/2017;11;26;28
13/02/2017;12;22;33
13/02/2017;13;22;35
13/02/2017;14;21;37
13/02/2017;15;21;39
13/02/2017;16;27;33
13/02/2017;17;37;26
13/02/2017;18;44;17
13/02/2017;19;42;17
13/02/2017;20;44;12
13/02/2017;21;38;17
