X,Y,nom_dept,nom_com,insee_com,nom_station,code_station,typologie,influence,nom_poll,id_poll_ue,valeur,unite,metrique,date_debut,date_fin,statut_valid,x_l93,y_l93,ObjectId
1.39326,43.5616,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-SETMI Eisenhower ,FR50039,Urbaine,Industrielle,PM10,5,14.4,ug.m-3,horaire,2020-03-16T17:00:00.000Z,2020-03-16T18:00:00.000Z,t,570147,6274936,7758
4.36199,43.8299,GARD,NIMES,30189,Nîmes - Planas - Trafic,FR50212,Urbaine,Trafic,PM10,5,33,ug.m-3,horaire,2020-03-16T17:00:00.000Z,2020-03-16T18:00:00.000Z,t,809561,6304377,7759
1.44389,43.5872,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Berthelot Urbain,FR50030,Urbaine,Fond,PM10,5,13.6,ug.m-3,horaire,2020-03-16T19:00:00.000Z,2020-03-16T20:00:00.000Z,t,574294,6277699,7760
1.4496,43.574,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Périphérique Trafic,FR50048,Urbaine,Trafic,PM10,5,24.6,ug.m-3,horaire,2020-03-16T18:00:00.000Z,2020-03-16T19:00:00.000Z,t,573544,6276247,7761
3.88689,43.5915,HERAULT,MONTPELLIER,34172,Montpellier - Prés d Arènes Urbain,FR50200,Urbaine,Fond,PM10,5,29.6,ug.m-3,horaire,2020-03-16T17:00:00.000Z,2020-03-16T18:00:00.000Z,t,771642,6277340,7762
1.41861,43.5756,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Jacquier Urbain,FR50004,Urbaine,Fond,PM10,5,12.3,ug.m-3,horaire,2020-03-16T19:00:00.000Z,2020-03-16T20:00:00.000Z,t,572227,6276450,7763
0.719131,43.1049,HAUTE-GARONNE,SAINT-GAUDENS,31483,Saint-Gaudens urbain,FR50825,Urbaine,Fond,PM10,5,6.8,ug.m-3,horaire,2020-03-16T19:00:00.000Z,2020-03-16T20:00:00.000Z,t,514212,6225531,7764
-0.038889,43.0969,HAUTES-PYRENEES,LOURDES,65286,Lourdes-Lapaca Urbain,FR50042,Urbaine,Fond,PM10,5,7.2,ug.m-3,horaire,2020-03-16T17:00:00.000Z,2020-03-16T18:00:00.000Z,t,452460,6226722,7765
1.373,43.631,HAUTE-GARONNE,BLAGNAC,31069,Blagnac Aéroport Piste ,FR50043,Périurbaine,Trafic,PM10,5,12.6,ug.m-3,horaire,2020-03-16T18:00:00.000Z,2020-03-16T19:00:00.000Z,t,568669,6282681,7766
2.5707,44.357,AVEYRON,RODEZ,12202,Rodez Urbain,FR50815,Urbaine,Fond,PM10,5,15.6,ug.m-3,horaire,2020-03-16T17:00:00.000Z,2020-03-16T18:00:00.000Z,t,665783,6362089,7767
2.5707,44.357,AVEYRON,RODEZ,12202,Rodez Urbain,FR50815,Urbaine,Fond,PM10,5,13.7,ug.m-3,horaire,2020-03-16T18:00:00.000Z,2020-03-16T19:00:00.000Z,t,665783,6362089,7768
2.14611,43.9281,TARN,ALBI,81004,Albi Urbain,FR50026,Urbaine,Fond,PM10,5,15.1,ug.m-3,horaire,2020-03-16T19:00:00.000Z,2020-03-16T20:00:00.000Z,t,631428,6314715,7769
2.90345,42.684,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan Sud - urbain,FR50219,Urbaine,Fond,PM10,5,24.5,ug.m-3,horaire,2020-03-16T16:00:00.000Z,2020-03-16T17:00:00.000Z,t,692077,6176047,7770
2.23,43.6106,TARN,CASTRES,81065,Castres-Travet Urbain,FR50053,Urbaine,Fond,PM10,5,12.9,ug.m-3,horaire,2020-03-16T17:00:00.000Z,2020-03-16T18:00:00.000Z,t,637820,6279364,7771
1.40639,43.5569,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-SETMI Chapitre,FR50040,Urbaine,Industrielle,PM10,5,15,ug.m-3,horaire,2020-03-16T17:00:00.000Z,2020-03-16T18:00:00.000Z,t,571198,6274392,7772
2.8997,42.6958,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan Centre - urbain,FR50220,Urbaine,Fond,PM10,5,32.9,ug.m-3,horaire,2020-03-16T17:00:00.000Z,2020-03-16T18:00:00.000Z,t,691771,6177360,7773
0.179722,43.6303,GERS,PEYRUSSE-VIEILLE,32317,Peyrusse Vieille Rural,FR50020,Rurale Nationale,Fond,NOX as NO2,9,0.81,ug.m-3,horaire,2020-03-16T19:00:00.000Z,2020-03-16T20:00:00.000Z,t,472377,6285316,7774
1.46765,43.6431,HAUTE-GARONNE,TOULOUSE,31555,Toulouse - Rte Albi Trafic,FR50054,Urbaine,Trafic,NOX as NO2,9,67.4,ug.m-3,horaire,2020-03-16T19:00:00.000Z,2020-03-16T20:00:00.000Z,t,576334,6283873,7775
1.41518,43.6103,HAUTE-GARONNE,TOULOUSE,31555,Toulouse Port de l Embouchure,FR50821,Urbaine,Trafic,NOX as NO2,9,9.8,ug.m-3,horaire,2020-03-16T19:00:00.000Z,2020-03-16T20:00:00.000Z,t,572027,6280312,7776
1.4496,43.574,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Périphérique Trafic,FR50048,Urbaine,Trafic,NOX as NO2,9,89.2,ug.m-3,horaire,2020-03-16T19:00:00.000Z,2020-03-16T20:00:00.000Z,t,573544,6276247,7777
1.376,43.634,HAUTE-GARONNE,BLAGNAC,31069,Blagnac Aéroport Trafic ,FR50044,Périurbaine,Trafic,NOX as NO2,9,12.7,ug.m-3,horaire,2020-03-16T19:00:00.000Z,2020-03-16T20:00:00.000Z,t,568918,6283009,7778
3.50483,43.2878,HERAULT,AGDE,34003,Agathois-Piscénois - Périurbain,FR50210,Périurbaine,Fond,NOX as NO2,9,3.9,ug.m-3,horaire,2020-03-16T19:00:00.000Z,2020-03-16T20:00:00.000Z,t,740996,6243312,7779
4.08842,43.6758,HERAULT,LUNEL-VIEL,34146,Lunel-Viel - Périurbain,FR50206,Périurbaine,Industrielle,NOX as NO2,9,15,ug.m-3,horaire,2020-03-16T18:00:00.000Z,2020-03-16T19:00:00.000Z,t,787792,6286912,7780
4.08842,43.6758,HERAULT,LUNEL-VIEL,34146,Lunel-Viel - Périurbain,FR50206,Périurbaine,Industrielle,NOX as NO2,9,30.4,ug.m-3,horaire,2020-03-16T19:00:00.000Z,2020-03-16T20:00:00.000Z,t,787792,6286912,7781
1.44389,43.5872,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Berthelot Urbain,FR50030,Urbaine,Fond,NOX as NO2,9,7.6,ug.m-3,horaire,2020-03-16T19:00:00.000Z,2020-03-16T20:00:00.000Z,t,574294,6277699,7782
3.86472,43.6117,HERAULT,MONTPELLIER,34172,Montpellier - Chaptal Urbain,FR50201,Urbaine,Fond,NOX as NO2,9,32.8,ug.m-3,horaire,2020-03-16T19:00:00.000Z,2020-03-16T20:00:00.000Z,t,769827,6279565,7783
